STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,citizen,Country of citizenship,agedef,Age definition,age,Age class,unit,Unit of measure,sex,Sex,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,DE,Germany,2016,,1042484,,e,estimated,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,DE,Germany,2017,,900291,,e,estimated,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,DE,Germany,2018,,855708,,e,estimated,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,DE,Germany,2019,,834338,,e,estimated,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,DE,Germany,2020,,666639,,e,estimated,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,DE,Germany,2021,,801361,,e,estimated,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,DE,Germany,2022,,1977121,,e,estimated,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,DE,Germany,2023,,1303251,,e,estimated,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,DK,Denmark,2012,,54409,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,DK,Denmark,2013,,60312,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,DK,Denmark,2014,,68388,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,DK,Denmark,2015,,78492,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,DK,Denmark,2016,,74383,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,DK,Denmark,2017,,68579,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,DK,Denmark,2018,,64669,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,DK,Denmark,2019,,61384,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,DK,Denmark,2020,,57230,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,DK,Denmark,2021,,63489,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,DK,Denmark,2022,,121183,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,DK,Denmark,2023,,98344,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,EE,Estonia,2012,,2639,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,EE,Estonia,2013,,4109,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,EE,Estonia,2014,,3904,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,EE,Estonia,2015,,15413,,b,break in time series,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,EE,Estonia,2016,,14822,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,EE,Estonia,2017,,17616,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,EE,Estonia,2018,,17547,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,EE,Estonia,2019,,18259,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,EE,Estonia,2020,,16209,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,EE,Estonia,2021,,19524,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,EE,Estonia,2022,,49414,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,EE,Estonia,2023,,26399,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,EL,Greece,2012,,58200,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,EL,Greece,2013,,57946,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,EL,Greece,2014,,59013,,,,,
